repositorio,clonagem,clonado,url
repositorio1,iniciada em 2023-08-17 17:01:36.401374,clonando repositorio1,https://github.com/apache/cassandra.git
repositorio2,iniciada em 2023-08-17 17:01:36.403032,clonando repositorio2,https://github.com/apache/kafka.git
repositorio3,iniciada em 2023-08-17 17:01:36.405485,clonando repositorio3,https://github.com/spring-projects/spring-boot.git
repositorio4,iniciada em 2023-08-17 17:01:36.407396,clonando repositorio4,https://github.com/elastic/elasticsearch.git
