Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Pérez Gutiérrez, Boris Rainiero; ",REBEL: a semiautomatic approach to identify architectural technical debt from heterogeneous artifacts,,,,,2021,Universidad de los Andes
"Deeb, Samir; BenIdris, Mrwan; Ammar, Hany; Dzielski, Dale; ",Refactoring cost estimation for architectural technical debt,International Journal of Software Engineering and Knowledge Engineering,31,02,269-288,2021,World Scientific
"Soares De Toledo, Saulo; ",Managing Architectural Technical Debt in Microservices,,,,,2022,
"Besker, Terese; ",An Empirical Investigation of the Harmfulness of Architectural Technical Debt,,,,,2018,Chalmers Tekniska Hogskola (Sweden)
"Sousa, Armando; Rocha, Lincoln; Britto, Ricardo; ",Architectural Technical Debt-A Systematic Mapping Study,Proceedings of the XXXVII Brazilian Symposium on Software Engineering,,,196-205,2023,
"de Toledo, Saulo S; Martini, Antonio; Sjøberg, Dag IK; ","Identifying architectural technical debt, principal, and interest in microservices: A multiple-case study",Journal of Systems and Software,177,,110968,2021,Elsevier
"Pérez, Boris; ",A semiautomatic approach to identify architectural technical debt from heterogeneous artifacts,European Conference on Software Architecture,,,5-16,2020,Springer
"Capilla, Rafael; Mikkonen, Tommi; Carrillo, Carlos; Fontana, Francesca Arcelli; Pigazzini, Ilaria; Lenarduzzi, Valentina; ",Impact of opportunistic reuse practices to technical debt,2021 IEEE/ACM International Conference on Technical Debt (TechDebt),,,16-25,2021,IEEE
"Xiao, Lu; Cai, Yuanfang; Kazman, Rick; Mo, Ran; Feng, Qiong; ",Identifying and quantifying architectural debt,Proceedings of the 38th international conference on software engineering,,,488-498,2016,
"Grundén, Johan; Lexell, Björn; ",Finding Architectural Debt in Historical Data,,,,,2014,
"Rosser, Larri Ann; Norton, John H; ",A systems perspective on technical debt,2021 IEEE Aerospace Conference (50100),,,1-10,2021,IEEE
"Pigazzini, Ilaria; Briola, Daniela; Arcelli, F; ",Architectural technical debt of multiagent systems development platforms,CEUR WORKSHOP PROCEEDINGS,2963,,1-13,2021,CEUR-WS
"Dahl, Gustav; ",Estimating Architectural Technical Debt: A design research,,,,,2017,
"Damaceno, Katia; Nakagawa, Elisa; Braga, Rosana; ",Towards an understanding of technical debt in reference architectures,Proceedings of the XXXVI Brazilian Symposium on Software Engineering,,,257-262,2022,
"Pérez, Boris; Castellanos, Camilo; Correal, Darío; Rios, Nicolli; Freire, Sávio; Spínola, Rodrigo; Seaman, Carolyn; Izurieta, Clemente; ",Technical debt payment and prevention through the lenses of software architects,Information and Software Technology,140,,106692,2021,Elsevier
"Das, Dipta; Maruf, Abdullah Al; Islam, Rofiqul; Lambaria, Noah; Kim, Samuel; Abdelfattah, Amr S; Cerny, Tomas; Frajtak, Karel; Bures, Miroslav; Tisnovsky, Pavel; ",Technical debt resulting from architectural degradation and code smells: a systematic mapping study,ACM SIGAPP Applied Computing Review,21,4,20-36,2022,"ACM New York, NY, USA"
"Nayebi, Maleknaz; Cai, Yuanfang; Kazman, Rick; Ruhe, Guenther; Feng, Qiong; Carlson, Chris; Chew, Francis; ",A longitudinal study of identifying and paying down architecture debt,2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),,,171-180,2019,IEEE
"Martini, Antonio; Bosch, Jan; ",Towards prioritizing architecture technical debt: information needs of architects and product owners,2015 41St euromicro conference on software engineering and advanced applications,,,422-429,2015,IEEE
"Amoroso d’Aragona, Dario; ",Architectural Degradation and Technical Debt Dashboards,International Conference on Product-Focused Software Process Improvement,,,638-643,2022,Springer
"Hsu, Jen Tsu; ",Investigating the causes of software technical debt at the architectural level,,,,,2018,University of British Columbia
"Guamán, Daniel; Pérez, Jennifer; ",Supporting sustainability and technical debt-driven design decisions in software architectures,,,,,2021,
"Cai, Yuanfang; Kazman, Rick; ",Software design analysis and technical debt management based on design rule theory,Information and software technology,164,,107322,2023,Elsevier
"Soares de Toledo, Saulo; Martini, Antonio; Sjøberg, Dag; Przybyszewska, Agata; Skov Frandsen, Johannes; ",Reducing Incidents in Microservices by Repaying Architectural Technical Debt,,,,,2021,IEEE
"Ernst, Neil A; Bellomo, Stephany; Ozkaya, Ipek; Nord, Robert L; Gorton, Ian; ",Measure it? manage it? ignore it? software practitioners and technical debt,Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,,,50-60,2015,
"Sikander, Erik; Madlani, Neil; ",A Decision Framework on Refactoring Architectural Technical Debt: Paying Back in Modularity-An Industrial Case Study,,,,,2016,
"Gnoyke, Philipp; ",On the Evolution of Architecture Smells and Technical Debt,"Softwaretechnik-Trends Band 42, Heft 2",,,,2022,Gesellschaft für Informatik eV
"Ahrari, Sara; Baasan, Tselmeg; ",Architectural Technical Debt-can it be prevented with a software project generator?,,,,,,
"Eliasson, Ulf; Martini, Antonio; Kaufmann, Robert; Odeh, Sam; ",Identifying and visualizing Architectural Debt and its efficiency interest in the automotive domain: A case study,2015 ieee 7th international workshop on managing technical debt (mtd),,,33-40,2015,IEEE
"Preciado Orozco, Sergio; ",Technical Debt Analysis and Project Architecturization of a Jenkins Platform based on Groovy,,,,,2022,Universitat Politècnica de Catalunya
"BenIdris, Mrwan; Ammar, Hany; Dzielski, Dale; ",The technical debt density over multiple releases and the refactoring story,International Journal of Software Engineering and Knowledge Engineering,31,01,99-116,2021,World Scientific
"Perera, Judith; Tempero, Ewan; Tu, Yu-Cheng; Blincoe, Kelly; ",Quantifying technical debt: A systematic mapping study and a conceptual model,arXiv preprint arXiv:2303.06535,,,,2023,
"del Carpio, Paul Mendoza; ",Identification of architectural technical debt: An analysis based on naming patterns,2016 8th Euro American Conference on Telematics and Information Systems (EATIS),,,1-8,2016,IEEE
"Besker, Terese; ",Technical Debt: An empirical investigation of its harmfulness and on management strategies in industry,,,,,2020,Chalmers Tekniska Hogskola (Sweden)
"Ghamari Noodehi, Mohammad Javad; ",The influence of architectural decisions on technical debt in microservice applications,,,,,2020,
"Verdecchia, Roberto; Kruchten, Philippe; Lago, Patricia; Malavolta, Ivano; ",Summary: Building and evaluating a theory of architectural technical debt in software-intensive systems,"15th European Conference on Software Architecture-Companion, ECSA-C 2021",,,,2021,CEUR-WS
"Bogner, Justus; Verdecchia, Roberto; Gerostathopoulos, Ilias; ",Characterizing technical debt and antipatterns in AI-based systems: A systematic mapping study,2021 IEEE/ACM International Conference on Technical Debt (TechDebt),,,64-73,2021,IEEE
"Snipes, Will; Karlekar, Sunil; Mo, Ran; ",A case study of the effects of architecture debt on software evolution effort,2018 44th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),,,400-403,2018,IEEE
"Amanatidis, Theodoros; Mittas, Nikolaos; Moschou, Athanasia; Chatzigeorgiou, Alexander; Ampatzoglou, Apostolos; Angelis, Lefteris; ",Evaluating the agreement among technical debt measurement tools: building an empirical benchmark of technical debt liabilities,Empirical Software Engineering,25,,4161-4204,2020,Springer
"Pérez, B; Correal, D; Vera-Rivera, FH; ",How do software architects perceive technical debt in Colombian industry? An analysis of technical debt causes,Journal of Physics: Conference Series,1513,1,012003,2020,IOP Publishing
"Wickström, Sami; ","Challenges in understanding, measuring, and managing technical debt",,,,,2023,S. Wickström
"Kozanidis, Nicholas; Verdecchia, Roberto; Guzmán, Emitzá; ",Asking about technical debt: Characteristics and automatic identification of technical debt questions on stack overflow,Proceedings of the 16th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,,,45-56,2022,
"Ampatzoglou, Areti; Mittas, Nikolaos; Tsintzira, Angeliki-Agathi; Ampatzoglou, Apostolos; Arvanitou, Elvira-Maria; Chatzigeorgiou, Alexander; Avgeriou, Paris; Angelis, Lefteris; ",Exploring the relation between technical debt principal and interest: An empirical approach,Information and Software Technology,128,,106391,2020,Elsevier
